house_mdn_value,house_mdn_age,households,rooms,bedrooms,population,mdn_income,longitude,latitude,dist_coast,dist_la,dist_sd,dist_sf,dist_sj
57800,17,461,2548,537,1118,2.267,-121.67,40.89,207106.139420914,818055.477514913,993258.190272598,352614.498643743,395712.259341342
76900,30,170,1055,211,629,2.8676,-121.22,37.95,29231.2353267333,509366.440510831,688524.377293672,108122.257381145,90447.1343343271
62500,52,319,1557,344,758,1.8529,-124.17,40.8,3514.86849658688,914261.432272661,1093636.15550754,368229.990931536,432449.254330057
67900,21,391,1899,447,1133,1.8636,-118.44,35.13,122622.298501695,121181.772821343,293235.79455669,462376.908572418,394995.071279245
58400,52,418,1788,449,1156,1.7298,-119.8,36.75,174630.12444678,331473.721760939,509238.150232108,259194.519220233,196837.037546858
78800,31,562,2209,636,1314,1.7235,-117.27,34.12,80469.0016377015,89983.3418051044,156473.84390381,617017.261242572,549398.754386925
44000,17,320,1388,386,775,1.2049,-114.66,32.74,6650.05786630921,363252.261035456,233968.05406098,900094.585656026,833065.603373674
74100,33,236,1348,234,573,2.4896,-124.11,40.57,16852.4615833035,890806.809844016,1070210.78608013,342913.565658116,407526.326504257
58700,43,471,2323,502,1144,2.3967,-119.79,36.77,176686.780169588,333097.958046358,510754.062605193,258995.777686774,196930.39609876
72100,31,336,1484,314,1163,2.625,-121.22,37.96,28799.5554897252,510303.640150436,689451.746643265,108321.9786136,91287.4967487039
65000,39,642,2617,659,2052,1.6952,-120.98,37.64,66570.0620727775,468964.61063499,648140.708615299,128537.948860058,87384.3310307584
78800,16,518,2396,526,1338,2.1653,-119.72,36.8,183666.87571247,333523.413159774,510724.457270883,263164.356893917,201781.028287372
64300,19,190,901,183,700,2.2375,-120.06,36.94,155065.385110921,360736.230246437,539041.805763834,229177.550547812,168327.617406093
62300,9,349,1969,406,805,1.5491,-116.35,34.13,138897.371507993,174592.998083766,174344.145041041,680783.902830409,614116.238572609
75000,49,13,60,11,76,2.5625,-117.3,34.1,77040.9890996001,87076.9867727126,154462.20901315,616502.712120309,548840.093341566
76900,20,758,3674,792,1498,2.2161,-116.97,33.74,67597.3047559306,122576.226455178,115271.401615263,666135.276946807,598380.401371061
44000,42,440,2918,576,1182,2.1434,-121.16,41.78,244653.396313049,896403.238285365,1067902.4926245,458490.81328206,498181.381487016
54400,36,186,738,168,737,1.4415,-119.6,36.56,172030.722571979,304793.995679428,482143.920104364,284868.811310398,221255.944845341
80400,26,450,2033,463,618,2.5685,-117.72,33.61,10176.4648984808,68977.296969517,112224.607996727,628624.081355212,560590.884399916
74000,28,438,2809,605,1093,2.0962,-123.84,40.28,30749.1210014391,851307.630431949,1030713.64317018,304056.36971941,368296.490841778
63800,27,141,418,163,332,1.0714,-119.33,36.19,165128.229139409,257418.213903726,434466.926720094,326936.58989923,261426.745946074
73100,46,91,476,102,476,1.4511,-117.32,34.06,72368.4909629489,85097.3043453036,150201.652440916,618202.575859891,550486.825655447
71900,21,371,1779,399,1446,2.4414,-120.51,36.86,114512.426175821,373614.625145079,552971.35191881,197973.787189609,133568.24426342
65000,14,954,4985,1238,2517,2.0674,-116.38,34.2,142208.91584666,172330.282364332,180246.803688832,673811.229297879,607240.334851226
47000,27,409,1783,441,1163,1.2857,-121.55,39.1,113172.882066166,634076.09584225,812255.800175931,166228.696366954,198480.526844131
75700,52,187,1121,211,554,3.3929,-122.29,37.83,4442.14980901594,555885.738355823,734696.069973899,13889.7595464316,65171.505932885
59600,38,112,576,130,478,2.3382,-120.32,37.29,136038.573910428,405918.225443527,584275.128856753,193788.89946306,139205.143349638
73900,28,720,3308,766,3201,1.7694,-121.3,37.92,24867.4034245703,510396.47832523,689662.864322521,100651.595072224,83377.801335503
61300,26,1393,5359,1508,1829,1.7675,-118.09,33.77,5390.52525009375,34438.760375463,145618.83034087,592821.394328642,524822.416918584
75000,52,22,201,35,74,1.3036,-121.01,37.64,64701.2647982485,470390.92603391,649602.330640605,125917.030751606,84950.4200522345
38800,20,241,1193,263,1274,1.9417,-120.51,36.55,110129.411772836,345570.287325286,524939.995895354,217958.420267994,150780.523878748
81100,14,685,4453,797,1817,2.7468,-122.38,41.54,141186.168067203,908165.865122914,1084272.56832845,418786.206212485,469385.434048471
41300,27,150,1848,449,396,2.8472,-123.22,40.16,65646.0370529709,809597.552167709,988827.998313631,273932.690658128,334478.939609598
68500,15,316,1926,361,917,3.3889,-118.01,35.12,130752.637797359,120641.704955029,278577.703522063,493337.633170654,426550.963962076
67500,34,100,438,116,263,0.9379,-121.45,38.61,60470.0655089053,582426.092229143,761140.658704062,126475.332554448,146943.821963051
54600,42,393,1705,418,905,1.6286,-119.03,35.42,123173.455172731,168205.389005779,346470.281564213,400834.084028325,333229.312235881
80400,26,532,2972,603,1972,2.0388,-117.22,34.11,82442.4256063038,94495.9238886904,155131.473617105,621159.367976011,553570.589625946
80000,38,187,949,190,578,2.3618,-119.39,36.64,191505.421930569,305945.831536368,481569.257922547,297375.414336651,235372.303656265
51700,43,365,1610,412,1409,1.7574,-121.26,37.94,26584.1068019097,510332.045462109,689543.697287854,104475.437474565,87323.4688212635
64100,19,111,683,139,302,2.5,-120.96,40.28,250840.204700159,733023.806649487,906815.930320229,306259.247887978,337242.957673993
42100,37,190,766,189,639,1.6607,-119.56,36.08,141123.303849413,255319.795377412,433995.197436928,317180.531033654,250472.409393776
56600,36,399,1822,449,930,1.3801,-122.35,40.68,153452.534119183,821217.597503834,998653.586231392,323211.389843493,373982.113332236
55800,15,343,1517,361,1275,1.5875,-119.09,36.42,196948.029126218,274270.197085073,448134.74679189,332363.338205149,269286.488688359
58200,27,148,852,176,464,1.7125,-122,39.94,156536.562165262,734591.036699846,912419.759102358,243728.462000417,289758.333171966
72300,30,410,2370,412,1248,3.1442,-119.57,36.7,185414.617133176,318018.018588129,494684.294317211,280022.534422413,218007.988321129
69900,17,428,1492,426,1595,1.7188,-115.57,32.8,21356.450309226,284509.522365026,149077.464329551,832448.14413242,764823.303109756
75200,45,195,965,198,498,1.6944,-121.29,37.99,21879.0299222066,516427.521857036,695626.744773065,103003.680315368,90079.5946144367
55700,42,97,495,116,284,2.8854,-121.28,37.99,22706.2759590144,515951.538263679,695139.982176072,103857.301597062,90601.0657911608
53900,27,317,1575,321,1063,2.1477,-119.12,36.05,173225.138729296,236026.215781425,412007.426552787,351270.699788991,285573.248047773
73900,43,75,355,81,233,2.4167,-119.83,36.71,169782.113228318,328649.943602905,506666.575733802,258868.902839226,195906.158586622
48500,41,158,812,168,375,1.7083,-114.59,34.83,235469.952327095,346012.793192143,334257.386026713,774833.358847117,712698.533365651
61300,5,439,1922,489,938,2.0474,-121.59,39.15,118581.70148565,640610.25685836,818797.329703293,169634.976522876,203493.147170416
53200,19,316,1402,324,1327,2.25,-119.28,36.52,189902.062977422,290071.000452792,465299.461531193,312151.742899217,249329.244513546
74000,11,1273,5692,1346,5682,2.5383,-116.19,33.69,120623.464748067,193832.340937922,141063.267947999,723288.837886499,656097.519430829
56100,34,178,1355,262,434,2.0903,-120.08,41.79,333804.686370542,875283.870751124,1041374.71717158,489626.404744234,519094.369935106
68300,10,476,2445,526,1262,1.9355,-119.36,36.22,164560.340778008,261541.085777231,438674.872066658,322853.175922622,257434.814143301
59800,27,323,1513,342,1346,2.7411,-119.25,35.78,147093.409762611,212901.147091587,391075.331113609,359738.129284397,292629.908712695
72100,45,274,1369,351,1046,1.8438,-117.29,34.12,79383.3145728352,88148.1421832305,156604.699332541,615664.526952384,548030.120151183
68900,20,250,1660,379,637,2.0347,-115.84,33.49,95391.4606208627,230799.636021466,150180.247224949,762376.892580576,695245.685667645
67500,18,550,2602,551,1042,1.9267,-117.07,32.6,8351.13270813451,194847.954927353,15437.9613699761,753600.918495198,685639.690312967
62900,35,433,1898,481,1123,1.1419,-119.29,36.32,175882.022598357,269490.618990075,445683.305555786,322246.689940551,257720.35139353
71000,18,190,874,203,572,1.6833,-120.62,37.35,111825.408116416,424822.11607417,603803.207422385,166465.813216118,112549.365200024
60600,23,315,1481,343,1079,1.867,-121.45,38.64,63701.8438414664,585302.64470339,763975.769015891,128935.236839694,150161.591839137
72000,28,208,1127,245,538,2.037,-122.41,40.53,145671.494432705,808854.654515481,986642.450624423,306461.830347877,358015.784208519
69400,25,309,1577,310,844,3.0625,-119.04,35.41,121780.754214895,167597.263821838,345970.552933138,400901.318574399,333267.086075615
60000,39,127,512,132,443,1.2857,-120.99,37.61,68328.8075327488,466632.99352154,645849.848058795,128121.692085632,85337.1118380541
63500,37,257,1054,239,879,2.5234,-119.44,36.58,183655.331677541,301297.107352784,477542.05809617,296393.533005642,233578.937582623
67200,46,323,1730,337,752,1.8529,-119.65,36.34,151732.808715345,284670.200457637,462979.714961411,293810.325026953,228241.693669154
76500,33,618,3379,612,1565,2.7321,-119.13,36.3,186795.140414498,262597.172655178,437453.181054874,335716.641592839,271556.095279305
72200,28,309,1651,305,780,2.9453,-119.72,36.81,184339.958027811,334538.940179893,511706.739925583,262694.301167256,201443.611954464
71300,27,155,529,159,193,2.0952,-118.08,33.76,4206.99736348288,35834.4847660511,144174.96011174,594267.372173749,526268.41813053
60000,18,213,1082,202,793,2.4032,-119.36,36.21,163973.233563972,260519.119490713,437693.236739837,323464.544178658,257985.126979244
64700,12,367,1462,356,1708,1.5086,-120.1,36.21,113203.715360534,293353.035205606,472762.265319406,270377.36273572,202889.336833956
72700,16,478,2849,506,1508,3.4074,-119.84,36.8,173858.934500339,338028.726293499,515828.443093066,253527.75703639,191634.60704936
63800,44,831,4599,877,2140,2.9952,-119.47,35.13,80137.9809310763,164201.851838616,342688.882919361,395658.631155836,327650.943153634
69200,24,260,1316,249,781,3.7578,-119.73,36.8,182957.67495629,333887.662262536,511142.768345757,262358.426410041,200933.520464805
76400,32,268,1298,363,716,0.9797,-122.37,37.95,1795.1011336438,570501.149144487,749389.272649547,20299.6315310715,80205.0014705383
28300,29,2826,17738,3114,12427,2.7377,-120.59,34.7,4816.10237930175,227052.460241124,386329.220210656,379589.091186895,315605.79590768
71300,25,283,1470,341,706,1.7614,-120.19,37.53,131099.199371495,424661.321165174,601946.16490416,199168.158288352,151916.455225583
76300,35,705,3269,757,2328,2.5898,-116.96,33.75,69040.9373376039,123146.92571918,116515.689582353,666032.488061575,598291.913227446
71300,33,27,399,87,71,1.875,-117.18,34.3,101602.443512588,101655.445680975,176170.845114071,609868.261035312,542558.884286551
59000,43,144,557,165,573,1.7212,-121.27,37.95,25283.2170217129,511742.246680316,690955.590192281,103808.541559751,87626.0323658611
61200,31,211,834,229,616,1.6602,-119.68,36.62,172286.428163751,313832.159792655,491413.698188448,275392.922752417,212064.864775496
74800,29,478,2242,493,1481,2.0781,-121.54,38.59,56766.5959715487,584536.780941327,763424.588133587,119591.257668085,142887.85239722
52800,38,334,1542,364,1220,1.625,-120.06,36.97,155403.258441882,363694.466807542,541926.526887726,227809.961526074,167455.951720723
66800,37,353,1884,366,1052,3.175,-117.04,34.89,161233.050002396,144404.306746409,242025.792318044,579553.747404204,513690.742422582
64700,15,486,3149,713,1281,2,-116.51,34.85,187333.310241096,182036.879472843,244827.074882064,622054.676693113,556931.589123674
74100,47,329,1486,335,765,1.755,-124.15,40.8,4621.18073622087,913255.571661868,1092625.30496003,367534.41374881,431667.920151679
71300,34,158,1006,213,443,2.6094,-124.03,40.45,29006.0106713736,876102.608005215,1055510.09144417,327958.773650432,392574.949360594
42500,30,63,540,136,122,1.3333,-115.52,34.22,173549.589037522,251364.56721144,226156.584799745,736387.2190559,670983.473375848
65800,38,374,1892,394,1175,1.9939,-115.38,32.82,17826.8732407576,298955.523440362,166933.601119757,843885.981484955,776398.589271502
50700,33,253,1097,254,627,1.2794,-120.26,37.11,140430.247433808,385789.362901288,564349.555830017,205413.352473928,146749.46511091
68400,17,647,3461,722,1947,2.5795,-124.21,41.77,3495.90455765665,1004574.81342108,1183452.67096145,469590.549510663,531546.990145256
64900,41,219,1087,272,462,2.0224,-121.42,38.62,62249.0326105669,582068.255879549,760714.561281807,129071.394098503,148727.220370539
67500,14,559,2928,600,1633,1.8385,-119.63,36.33,152343.109655206,282866.810017994,461118.452700029,295917.732510151,230348.762799353
67500,35,328,1372,360,850,1.6331,-121.47,38.61,60051.742452173,583310.2974044,762059.671990499,125296.840080865,146490.329525564
79800,21,322,1730,350,982,1.8375,-122.23,39.86,135511.54117898,736344.644461986,914735.691971073,232610.216513206,282236.432615529
44000,28,686,4225,835,1908,1.74,-121.93,41.86,183421.275310972,926136.958345239,1100359.5764562,456355.801332061,503113.626371491
62000,21,437,1988,483,1182,1.625,-114.6,33.6,99053.7771916326,340294.458397188,257877.923336394,845473.09380304,779847.209133739
63700,32,607,3068,628,1897,2.4234,-119.01,35.33,115065.170829209,158414.940468638,336933.742711132,408900.975998232,341176.211924098
54100,35,449,2228,476,1567,1.4455,-119.37,36.21,163210.649862113,260874.717656369,438115.904967486,322716.200774107,257206.718342774
47700,43,390,1763,389,1623,1.4427,-119.77,36.72,174332.692167251,327311.139015028,505024.809897307,263092.537768877,200500.535473596
55000,17,146,598,160,715,2.3295,-120.1,36.16,108989.972817071,288854.409102922,468251.74830399,274037.022726195,206404.957725231
62000,20,230,1121,244,766,2.2969,-115.62,33.04,45011.1963245833,267923.725150707,148360.523032808,810841.948150848,743388.338360253
66100,41,314,1749,342,1171,1.6875,-119.45,36.59,183789.394135771,302658.97028072,478935.875976249,295088.625505016,232337.928715123
58200,17,136,785,155,417,2.3289,-122.45,40.61,147231.392620491,818287.594219039,996038.094559041,315356.042023146,367277.222929823
79300,36,169,848,186,737,0.9838,-117.27,34.09,77818.9457817646,89781.444114178,153145.231845118,619282.710117,551633.024249966
62600,20,336,1934,377,1341,2.1434,-119.3,35.87,148484.083014949,223873.132298855,401997.384604423,349974.07815133,283056.636415272
72500,15,465,2966,669,1007,1.5667,-118.33,35.64,175174.375400754,176727.016981272,342472.976209012,435792.420723955,370099.937203595
62500,35,102,632,148,221,2.3684,-121.24,39.65,177311.360806669,677020.122440506,853284.527144581,232802.468957976,263561.038315374
80400,15,374,2119,389,1079,2.3566,-121.52,39.43,149956.152265873,665306.527496788,842848.479822757,200444.658412324,235157.940544694
62700,17,582,2414,594,2487,1.0955,-120.49,37.29,124723.896049314,413232.811042955,592041.981374091,179437.309037121,124182.338605372
57900,30,88,442,103,413,1.5694,-121.57,39.13,116417.931860638,637830.66380243,816006.086140845,168404.600222513,201525.909395956
77100,21,582,3229,667,1501,2.1524,-121.23,40.29,228866.609225045,742233.364719642,917099.73461245,298382.995885637,333509.165457379
81100,26,584,2653,621,774,2.49,-117.72,33.61,10176.4648984808,68977.296969517,112224.607996727,628624.081355212,560590.884399916
55000,45,181,543,191,454,2.3,-118.15,34.14,35526.5944932523,13025.0759069358,183036.664256204,558231.101861065,490199.322348499
61000,21,233,1284,306,537,1.95,-116.51,33.89,110607.767571773,160886.03295093201,143909.915458729,686366.171363383,619141.453480599
45000,21,335,1342,326,748,2.9231,-117.9,33.8,18797.9677534514,42333.9036296553,138765.974463961,601763.748158453,533729.487753285
53000,23,90,462,97,261,2.1705,-122.19,39.5,136226.301957087,700157.458138107,878929.812750079,193066.224397543,242069.77683454
55300,25,245,1270,255,1050,2.1618,-120.02,36.8,157842.477817681,345318.421260052,523820.850132157,239228.011680395,176525.269875338
68600,33,211,1192,213,1066,4.5714,-115.57,32.8,21356.450309226,284509.522365026,149077.464329551,832448.14413242,764823.303109756
70800,20,114,561,109,308,3.3021,-121.53,39.06,108852.151326115,629346.434032148,807546.518308474,163138.00678753,194363.70295863
73000,31,307,1607,336,817,2.5644,-119.04,35.35,115780.867089651,161625.217803199,340241.676713837,405392.845277594,337664.980184814
52300,24,662,3208,691,1986,1.5506,-119,36.05,182057.378406717,232562.676695101,407326.734589735,360255.525188363,294883.008250474
58800,18,69,382,128,194,2.5179,-116.28,32.84,26969.7260484721,226627.81922369,83523.4175403518,782294.611303541,714356.598736663
65600,19,56,301,65,150,3.125,-116.05,34.12,159984.36043243,202155.498908303,187122.152756027,703317.432126072,636994.515830707
78300,17,154,890,167,406,3.3036,-121.02,40.51,252653.59373173,758803.188843491,932343.669557316,327662.016876273,360973.594798892
14999,19,164,619,239,490,2.1,-117.02,36.4,297347.746568234,283729.024422664,409874.977817943,503631.718521426,445744.277931726
63500,52,131,802,160,564,2.1591,-117.32,34.06,72368.4909629489,85097.3043453036,150201.652440916,618202.575859891,550486.825655447
62800,34,421,2412,446,1558,2.6903,-118.93,35.37,122502.499510665,159391.760492576,337135.072436805,411301.624722023,343733.944883385
68400,18,397,2060,383,1348,3.4312,-119.32,36.36,176217.025086566,274607.053070957,450863.457200261,317660.148355728,253333.925258578
76100,47,315,1869,357,832,3.0846,-119.65,36.34,151732.808715345,284670.200457637,462979.714961411,293810.325026953,228241.693669154
59000,34,407,1590,422,1272,1.8068,-119.39,36.54,183894.961719666,295535.173969558,471572.482027783,302415.05878923,239390.993019766
70400,32,392,1962,399,1005,2.6726,-119.75,36.77,179526.445621205,331589.975750687,509047.361292397,262193.530099924,200297.253398783
22500,52,375,845,451,1230,1.0918,-117.16,32.71,3313.13935912626,179997.002845107,645.870937693684,738789.098413837,670823.179406591
57000,36,529,2658,626,1490,1.2157,-119.01,35.36,118010.98939911,161407.990191382,339800.450141346,406648.126539659,338968.126894184
67300,17,731,4002,930,1614,1.6236,-118.48,35.61,164995.431358436,174553.144566994,343934.734523376,426571.760087204,360442.339626003
72500,18,254,1435,257,657,2.4281,-119.15,36.29,184686.118632244,262106.08229727,437205.160913298,334732.033468191,270435.396796729
68300,33,389,1923,403,1205,1.8333,-119.6,36.57,172842.986008448,305808.486715803,483123.571215886,284329.128595076,220812.718544023
63300,15,309,1371,306,1266,1.767,-119.43,36.59,185069.900410959,302007.834549046,478139.787160298,296675.119011867,233998.628208618
70700,39,654,2614,634,1862,1.9238,-121.27,38.13,23816.0075906185,528633.975219821,707666.365407528,109246.872925738,103956.233622089
61900,36,180,788,181,405,1.47,-119.14,36.29,185456.04005827,261821.91812432,436824.283258852,335504.461709936,271239.329298477
80200,25,1073,5154,1105,3196,2.7566,-121.53,38.6,57988.1129194963,585036.256498442,763896.536211799,121000.732263366,144164.097730975
57400,33,301,1470,330,1222,1.8163,-119.28,36.54,191321.204419342,292171.828705952,467312.098763086,311131.982359083,248500.840167583
73500,41,626,3364,685,1841,2.1975,-121.48,38.54,52281.9847362793,577077.885112527,755934.29971833,119051.87719105,138747.392061008
58800,38,408,1912,456,1131,2.03,-119.79,36.78,177366.093817886,334103.345981805,511728.669499501,258504.546398767,196566.576059318
67500,21,175,1155,210,510,2.3851,-122.38,39.68,120353.496862378,725731.337732103,904562.631338662,211987.34020297,264118.43356288
50000,29,107,551,166,224,1.1917,-116.57,33.94,109732.527631997,154797.259768161,146790.562794964,678543.8370869,611330.108192854
75900,16,666,4279,951,1596,1.8571,-122.65,38.99,72704.3508291567,675439.908441348,854850.003626411,136553.172649168,195513.399857747
57500,42,504,2380,553,1300,1.7574,-124.1,40.5,21881.539793206,884120.340230323,1063528.96541417,335533.881002073,400307.422107572
53800,12,17,99,25,37,1.8958,-115.95,33.28,73562.0053547473,228972.911473506,129199.9911172,770161.646218744,702699.577893771
81000,38,291,1552,290,873,2.4896,-124.14,40.79,4692.07137175842,911860.966955939,1091230.66484835,366174.828956609,430292.788844548
70300,37,312,1477,321,888,2.5592,-121.45,38.52,50855.4310888556,573826.186756873,752659.843310931,119351.076621901,137324.321025838
73100,16,382,2026,396,1031,1.9375,-122.23,39.75,133734.188542434,725773.68132555,904306.711272406,220416.185481968,270076.454593114
76100,32,187,1430,419,434,1.9417,-124.25,40.28,7012.14111544582,872898.762113271,1052264.85325705,319873.100729793,385851.436376404
61000,37,588,3009,733,1513,1.4387,-121.44,38.62,61768.9848090865,582944.642520669,761627.557884247,127881.16162486,148248.15879951
61600,37,296,1199,351,782,1.6515,-117.02,34.9,163215.976720011,146517.661827679,243228.532480641,580407.733076213,514605.946779726
49400,29,227,1244,266,933,1.6981,-118.98,35.36,119296.169888715,160237.010992294,338423.615587187,408663.847171947,341018.373755678
55000,25,83,394,94,155,2.233,-121.22,38.58,64076.0596418582,569636.421345151,747928.357708587,138718.669497233,150437.993505308
79000,35,342,2061,371,1110,3.1944,-121.41,38.53,53052.1398470396,572998.237146498,751751.495531181,122645.056072926,139415.94448238
92700,43,410,2084,417,912,2.9769,-121.43,38.54,53510.5326201247,574842.229074622,753616.524466783,122146.098959723,139955.995106394
86900,34,514,2405,541,1342,2.8031,-117.13,34.07,84825.067555876,102609.196628283,150614.937005791,630278.803663943,562720.080219075
96700,42,387,1604,399,1581,1.7656,-118.28,33.96,15380.6623005321,10788.5815779827,173047.924434229,565361.272275245,497361.652503092
95000,30,428,2515,481,1327,2.1287,-122.34,37.93,2439.95044215237,567089.94866167,745988.854699294,19111.7537849022,76937.6687044278
86200,27,521,2204,598,1656,1.4821,-117.08,32.71,8638.175985997,184251.857446574,7613.12100168167,743507.441193727,675518.5111463
91700,38,482,2457,624,1516,1.5625,-122.16,37.75,5824.56752557681,541632.768905475,720504.351832424,23997.2430950119,51754.693777353
99300,17,1453,6932,1486,3056,2.3375,-119.76,36.82,181060.85258409,337015.164139919,514363.660627091,258996.672337754,197713.25441557
98700,36,426,2253,434,1018,3.2596,-121.38,38.59,60215.4030320128,577438.330351847,756052.500404647,129137.210268356,146566.686313941
81900,36,437,2430,426,1199,3.1667,-121.43,38.53,52458.3195804455,573886.759329609,752674.30893507,121377.663836891,138893.063056913
98000,9,297,2598,548,796,3.5192,-120.44,38.61,112950.02709253,543598.979853559,719101.968178814,197291.751213604,190537.13998952
97400,14,264,1258,245,752,3.3924,-117.18,34.07,81574.8249401943,98004.2359530398,150597.521355629,626880.353996061,559280.723364424
85000,26,626,2947,647,825,2.933,-122.08,37.88,18868.5704630433,547934.722959175,727083.216698041,33029.8773405223,62747.9647446607
86900,27,337,1691,282,869,3.9514,-119.72,36.75,179846.509056194,328455.13782897,505821.079577797,265571.965284769,203550.824038052
85500,36,303,1896,315,937,3.996,-118.97,35.41,124619.829282933,164920.786988443,342791.773034085,405638.992315526,338092.711412397
87500,14,129,821,170,477,3.15,-121.83,40.69,196249.309463247,803048.556738013,979133.50416353,328354.871135941,373045.319791382
103600,33,175,993,186,556,2.4286,-120.3,37.34,134011.855451569,410009.147179013,588190.727679327,193965.938705789,140835.984982421
92600,52,319,1829,301,694,3.3466,-121.31,37.96,21672.5095119656,514592.105126478,693836.667425467,100578.506817853,86354.9687333291
